"Part";"Value";"Device";"Package";"Description";"";
"C1";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";"18pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"1µF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"IC1";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";
"JP1";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"JP2";"";"PINHD-1X10";"1X10";"PIN HEADER";"";
"K1";"LZH20-1";"LZH20-1";"LZH20-1";"";"";
"LED1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED3";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED5";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED6";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED7";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED8";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED9";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED10";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED11";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"LED12";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";
"R1";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R2";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R3";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R4";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R5";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R6";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R7";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R8";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R9";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R10";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R11";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R12";"150";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"S1";"SWS001";"SWS001";"SMS-001";"SMD Dip Switch 1 pol.";"";
"S2";"SWS001";"SWS001";"SMS-001";"SMD Dip Switch 1 pol.";"";
"U$1";"32768KHZ";"32768KHZ";"32768KHZ";"";"";
